Project-Number,Name,Address,Lat,Lng,Weather_Category,Color,Temperature_F,Windspeed_mph
23-087,Topeka Municipal Bldg City Hall HVAC Project,"215 SE 7th St, Topeka, KS 66603, USA",39.0489787,-95.67200849999999,Cold but Good Weather,Blue,31,6
23-088,HME ERECTION 23-087 MUNICIPAL BLDG CITY HALL HVAC PROJECT,"SE 8th St, Topeka, KS 66607, USA",39.0415755,-95.6229172,Cold but Good Weather,Blue,31,6
23-089,NC Melt Shop Mill,"792 New Cut Rd, Lexington, NC 27292, USA",35.7718006,-80.1265382,Cold but Good Weather,Blue,29,0
23-090,UCHealth Medical Center of the Rockies,"2500 Rocky Mountain Ave, Loveland, CO 80538, USA",40.4156022,-104.9971202,Cold but Good Weather,Blue,26,0
23-091,Jerry Payne - Farmstead Re-Roof - PEMB,"4131 NW Green Hills Rd, Topeka, KS 66618, USA",39.1208245,-95.68948689999999,Cold but Good Weather,Blue,31,6
23-092,HME ERECTION 23-750 200 SW JACKSON EXTERIOR UPGRADES TFI,"200 SW Jackson St, Topeka, KS 66603, USA",39.057044,-95.67221400000001,Cold but Good Weather,Blue,31,6
23-093,North Topeka WWTP,"1600 NW Button Rd, Topeka, KS 66618, USA",39.0775793,-95.7037019,Cold but Good Weather,Blue,31,6
23-094,David City WTP,"1220 E St, David City, NE 68632, USA",41.2542522,-97.1182307,Cold but Good Weather,Blue,30,8
23-095,Wagoner County RWD No.5 WTP Expansion,"36887 E 141st St S, Coweta, OK 74429, USA",35.959924,-95.5661444,Good Weather,Green,43,13
23-097,Healdton WWTP,"976 NW 3rd St, Healdton, OK 73438, USA",34.2410228,-97.4857078,Wind and Rain,Red,48,20
23-099,Whole Foods Distribution Facility,"Aurora, CO, USA",39.7294319,-104.8319195,Snow,Red,27,3
23-100,Pete Lien & Sons Corporate HQ,"3401 Universal Dr, Rapid City, SD 57702, USA",44.11151479999999,-103.2755673,Cold but Good Weather,Blue,22,0
23-101,HME ERECTION 23-100 PETE LIEN & SONS CORPORATE HQ,"3401 Universal Dr, Rapid City, SD 57702, USA",44.11151479999999,-103.2755673,Cold but Good Weather,Blue,22,0
23-102,Trego-Lemke Memorial Hospital Addition & Remodel- Erection,"320 N 13th St, WaKeeney, KS 67672, USA",39.0277552,-99.8710117,Cold but Good Weather,Blue,31,10
23-103,Republic WWTF,"915 N West Ave, Republic, MO 65738, USA",37.1311119,-93.4887589,Cold but Good Weather,Blue,31,7
23-107,Aspen Valley Hospital Ph4,"401 Castle Creek Rd, Aspen, CO 81611, USA",39.1891925,-106.8381908,Snow,Red,27,0
23-109,SOF TEMF Fort Carson,"Fort Carson, CO, USA",38.7374943,-104.7888615,Snow,Red,29,11
23-110,UMC Regional HQ,"100 S Kansas Ave, Topeka, KS 66603, USA",39.0583557,-95.66985539999999,Cold but Good Weather,Blue,31,6
23-112,SOLDIER TOWNSHIP MAINTENANCE SHOP - PEMB,"334 NW 62nd St, Topeka, KS 66617, USA",39.1593008,-95.65920849999999,Cold but Good Weather,Blue,31,6
23-113,Upper Blue Sanitation District Screw Press,"59 Co Rd 1, Breckenridge, CO 80424, USA",39.5668896,-106.0516187,Snow,Red,20,2
23-114,West Memphis WWTP Expansion,"502 S Loop Dr, West Memphis, AR 72301, USA",35.12378,-90.1797538,Good Weather,Green,32,5
23-115,Newcastle WWTP Improvements,"1200 NE 16th St, Newcastle, OK 73065, USA",35.2616125,-97.5872141,Good Weather,Green,45,15
23-117,Stormont Vail - Flint Hills Central Plant Improvements,"1102 St Marys Rd, Junction City, KS 66441, USA",39.0140681,-96.85110399999999,Cold but Good Weather,Blue,30,9
23-119,Camso Emporia Mezzanine,"1601 E South Ave, Emporia, KS 66801, USA",38.3972487,-96.1542987,Cold but Good Weather,Blue,30,8
23-121,Wright City WWTF,"Lagoon Dr, St. Louis, MO, USA",38.64357,-90.2931894,Cold but Good Weather,Blue,31,6
23-122,Regional Well House Modifications Project,"11820 Motsenbocker Rd, Parker, CO 80134, USA",39.50213999999999,-104.766221,Snow,Red,26,3
23-123,PAR 1400 Peracetic Acid Disinfection,"5950 York St, Denver, CO 80216, USA",39.805279,-104.958759,Cold but Good Weather,Blue,28,6
23-124,Camso JC Vessel Extension,"2925 Industrial St, Junction City, KS 66441, USA",38.9962318,-96.8664289,Cold but Good Weather,Blue,30,9
23-125,KANSAS RIVER WWTP PEMB,"1400 E 8th St, Lawrence, KS 66044, USA",38.9689552,-95.22158789999999,Cold but Good Weather,Blue,31,6
23-126,DHS Speed Bumps,"3600 E Paisano Dr, El Paso, TX 79905, USA",31.7668123,-106.4505294,High Wind,Yellow,43,19
23-128,PORTER WWTP IMPROVEMENTS,"Porter, OK 74454, USA",35.8709334,-95.522476,Good Weather,Green,42,13
23-130,TFI PO 723-1429 TAMPA BAY CASTER DECK,"300 SW Jackson St, Topeka, KS 66603, USA",39.0559366,-95.6726752,Cold but Good Weather,Blue,31,6
23-131,UTRWD Southwest Booster Pump Station,"7079 Prairie Ridge Rd, Argyle, TX 76226, USA",33.085417,-97.214113,Rain,Red,52,7
23-132,TFI SHUTTLE WAGON 525 FRAMES PO-7231446A-91523,"300 SW Jackson St, Topeka, KS 66603, USA",39.0559366,-95.6726752,Cold but Good Weather,Blue,31,6
23-133,Shamrock North Tower,"9345 Metcalf Ave, Overland Park, KS 66212, USA",38.9599359,-94.66699129999999,Cold but Good Weather,Blue,31,7
23-134,KANSAS RIVER WWTP IMPROVEMENTS,"1400 E 8th St, Lawrence, KS 66044, USA",38.9689552,-95.22158789999999,Cold but Good Weather,Blue,31,6
23-135,HME ERECTION 23-134 KANSAS RIVER WWTP IMPROVEMENTS,"1400 E 8th St, Lawrence, KS 66044, USA",38.9689552,-95.22158789999999,Cold but Good Weather,Blue,31,6
23-136,Meta MOFE MCA1 0400-0117208,"Lawrence, KS, USA",38.9716689,-95.2352501,Cold but Good Weather,Blue,31,6
23-137,HAYS HIGH SCHOOL,"2500 E 13th St, Hays, KS 67601, USA",38.8709941,-99.2921255,Cold but Good Weather,Blue,30,13
23-138,HME ERECTION 23-137 HAYS HIGH SCHOOL,"2500 E 13th St, Hays, KS 67601, USA",38.8709941,-99.2921255,Cold but Good Weather,Blue,30,13
23-141,KU Chalmers Hall Metal Shop Renovation,"1467 Jayhawk Blvd, Lawrence, KS 66045, USA",38.9579558,-95.2507475,Cold but Good Weather,Blue,31,6
23-142,TSCPL Loading Dock & Approach Renovation,"1515 SW 10th St, Topeka, KS 66604, USA",39.0512656,-95.6962171,Cold but Good Weather,Blue,31,6
23-143,Sioux City WWTP - UV Disinfection,"3170 S Lewis Blvd, Sioux City, IA 51106, USA",42.4537024,-96.37551669999999,Cold but Good Weather,Blue,30,9
23-144,2396 PCWRA STAIRS LANDINGS & HANDRAILS,"Castle Rock, CO, USA",39.3722121,-104.8560902,Snow,Red,26,1
23-146,RWD #4 Pipe Support,"5439 NW 33rd St, Topeka, KS 66618, USA",39.1048548,-95.75030679999999,Cold but Good Weather,Blue,31,6
23-147,KSU Waters Hall 1st Floor South Wing Renovation,"Manhattan, KS, USA",39.18360819999999,-96.57166939999999,Cold but Good Weather,Blue,31,7
23-148,Remsen RO WTP,"206 E Nothem Ave, Remsen, IA 51050, USA",42.8173294,-95.97043230000001,Cold but Good Weather,Blue,28,13
23-149,Hybar Rolling Mill Structural Package,"Osceola, AR 72370, USA",35.7028603,-89.9700561,Cold but Good Weather,Blue,29,7
23-150,HCA MID AMERICA MARKET LAB,"Lenexa, KS, USA",38.9536174,-94.73357089999999,Cold but Good Weather,Blue,31,8
23-151,OREM WRF TERTIARY FILTER REUSE,"1797 1000 S, Orem, UT 84058, USA",40.2785376,-111.7367113,Snow,Red,33,10
23-152,SELECT STEEL TRANSFER PLATES,"800 Fiber Ln, Wellsville, KS 66092, USA",38.714751,-95.072575,Cold but Good Weather,Blue,31,8
23-153,Stormont Vail Flint Hills Radiology Mech Improvements,"1102 St Marys Rd, Junction City, KS 66441, USA",39.0140681,-96.85110399999999,Cold but Good Weather,Blue,30,9
23-155,Stormont Vail Flint Hills SPD Kitchen Improvements,"1102 St Marys Rd, Junction City, KS 66441, USA",39.0140681,-96.85110399999999,Cold but Good Weather,Blue,30,9
23-159,AIT Barracks Bldgs.1012 & 1013 Renovation,"Big Piney Rd, FT LEONARD WD, MO 65473, USA",37.72837639999999,-92.11819729999999,Good Weather,Green,33,0
23-161,Coffey County Law Enforcement Center,"Burlington, KS 66839, USA",38.1944667,-95.74276410000002,Cold but Good Weather,Blue,31,7
23-163,MARSHALL NSPS,"Marshall, MO 65340, USA",39.1230777,-93.1968704,Cold but Good Weather,Blue,30,5
23-164,Boeing STL Expansion,"St. Louis, MO, USA",38.6270025,-90.19940419999999,Cold but Good Weather,Blue,31,1
23-165,Evergy 800 Bldg 2nd Floor Remodel,"Topeka, KS, USA",39.0473451,-95.67515759999999,Cold but Good Weather,Blue,31,6
23-166,HME ERECTION 23-165 EVERGY 800 BLDG 2ND FLOOR REMODEL,"Topeka, KS, USA",39.0473451,-95.67515759999999,Cold but Good Weather,Blue,31,6
